seed,method,method_label,lambda,mean_reward,good_mode_recall,final_loss,is_baseline
0,bc,BC,1.0,-10.975727081298828,0.0,1.6569358977404507,1
0,forward_kl,Forward KL,1.0,-1.6146680116653442,0.6666666666666666,4.93725938688625,1
0,reverse_kl,Reverse KL,1.0,-2.095216751098633,0.3333333333333333,1.8223064596002752,1
0,wasserstein,Wasserstein,0.05,-1.3438539505004883,0.3333333333333333,1.4641721058975568,0
0,partial_ot,Partial OT,0.05,-0.8986933827400208,1.0,0.9551025574857538,0
0,unbalanced_ot,Unbalanced OT,0.05,-0.8129387497901917,1.0,0.7805206990716133,0
0,wasserstein,Wasserstein,0.1,-1.2631484270095825,0.3333333333333333,1.3340306715531782,0
0,partial_ot,Partial OT,0.1,-1.2094300985336304,1.0,1.3294968415390362,0
0,unbalanced_ot,Unbalanced OT,0.1,-0.757525622844696,1.0,0.7934853597120806,0
0,wasserstein,Wasserstein,0.3,-1.2261955738067627,1.0,1.738966242833571,0
0,partial_ot,Partial OT,0.3,-1.1018630266189575,1.0,0.9393961944363334,0
0,unbalanced_ot,Unbalanced OT,0.3,-0.7064200043678284,1.0,1.0167299725792625,0
0,wasserstein,Wasserstein,1.0,-1.2484550476074219,0.3333333333333333,2.426511775363575,0
0,partial_ot,Partial OT,1.0,-0.9382241368293762,1.0,1.049291110851548,0
0,unbalanced_ot,Unbalanced OT,1.0,-0.7240387797355652,1.0,1.5872271819548174,0
0,wasserstein,Wasserstein,3.0,-1.2836989164352417,0.3333333333333333,4.1815033392472705,0
0,partial_ot,Partial OT,3.0,-1.1292728185653687,1.0,1.7612235871228306,0
0,unbalanced_ot,Unbalanced OT,3.0,-0.7386376261711121,1.0,2.894944754513827,0
0,wasserstein,Wasserstein,10.0,-1.3817830085754395,0.3333333333333333,12.40046163038774,0
0,partial_ot,Partial OT,10.0,-1.8560072183609009,1.0,2.4899672378193247,0
0,unbalanced_ot,Unbalanced OT,10.0,-0.7855228781700134,0.6666666666666666,7.387859301133589,0
1,bc,BC,1.0,-8.96093463897705,0.0,1.6642080653797497,1
1,forward_kl,Forward KL,1.0,-1.4580243825912476,1.0,1.7326431491158225,1
1,reverse_kl,Reverse KL,1.0,-1.8696659803390503,0.0,2.2544245665723626,1
1,wasserstein,Wasserstein,0.05,-1.3313144445419312,1.0,1.073362802917307,0
1,partial_ot,Partial OT,0.05,-0.7419610619544983,1.0,0.6336863813075152,0
1,unbalanced_ot,Unbalanced OT,0.05,-0.7315424084663391,1.0,1.0251575694842772,0
1,wasserstein,Wasserstein,0.1,-1.466486930847168,0.3333333333333333,1.529684148051522,0
