seed,method,method_label,lambda,mean_reward,good_mode_recall,final_loss,is_baseline
0,bc,BC,1.0,-10.975727081298828,0.0,1.6569358977404507,1
0,forward_kl,Forward KL,1.0,-0.5059582591056824,1.0,1.0944192572073503,1
0,reverse_kl,Reverse KL,1.0,-0.6530749797821045,1.0,1.1594701680270108,1
0,wasserstein,Wasserstein,0.05,-1.1134085655212402,0.6666666666666666,1.225657202980735,0
0,partial_ot,Partial OT,0.05,-1.2077583074569702,1.0,1.2209617441350764,0
0,unbalanced_ot,Unbalanced OT,0.05,-0.6870677471160889,1.0,0.768915983763608,0
0,wasserstein,Wasserstein,0.1,-1.3001106977462769,0.3333333333333333,1.36999972300096,0
0,partial_ot,Partial OT,0.1,-1.6615660190582275,1.0,1.5870879021557895,0
0,unbalanced_ot,Unbalanced OT,0.1,-0.7326168417930603,1.0,0.715119952505285,0
0,wasserstein,Wasserstein,0.3,-1.377579689025879,0.6666666666666666,1.724366762421348,0
0,partial_ot,Partial OT,0.3,-0.9382487535476685,1.0,0.8876157890666615,0
0,unbalanced_ot,Unbalanced OT,0.3,-0.9129459261894226,1.0,1.1112894957715815,0
0,wasserstein,Wasserstein,1.0,-1.4529722929000854,0.6666666666666666,2.247357563538985,0
0,partial_ot,Partial OT,1.0,-1.6092987060546875,1.0,1.646407430822199,0
0,unbalanced_ot,Unbalanced OT,1.0,-0.7731680870056152,1.0,1.3993190852078525,0
0,wasserstein,Wasserstein,3.0,-1.1866813898086548,0.3333333333333333,4.369265599684282,0
0,partial_ot,Partial OT,3.0,-0.9468010663986206,1.0,1.1209702058271929,0
0,unbalanced_ot,Unbalanced OT,3.0,-0.8449734449386597,1.0,2.8865146203474565,0
0,wasserstein,Wasserstein,10.0,-1.279701590538025,0.6666666666666666,11.691857598044656,0
0,partial_ot,Partial OT,10.0,-1.9461281299591064,1.0,2.045825633135709,0
0,unbalanced_ot,Unbalanced OT,10.0,-0.7309282422065735,1.0,6.753558245572177,0
1,bc,BC,1.0,-8.96093463897705,0.0,1.6642080653797497,1
1,forward_kl,Forward KL,1.0,-0.4621407091617584,1.0,0.6956342472271486,1
1,reverse_kl,Reverse KL,1.0,-0.6534871459007263,1.0,1.3947979103435169,1
1,wasserstein,Wasserstein,0.05,-1.3987467288970947,0.3333333333333333,1.4321839050813154,0
1,partial_ot,Partial OT,0.05,-3.3187906742095947,1.0,3.025716250593012,0
