method,lambda,n_seeds,mean_reward_mean,mean_reward_std,mean_reward_stderr,good_mode_recall_mean,good_mode_recall_std,good_mode_recall_stderr
bc,1.0,5,-6.437509965896607,2.98784568540102,1.3362052117672263,0.0,0.0,0.0
forward_kl,1.0,5,-0.47288694977760315,0.021030319692393114,0.009405044884148693,1.0,0.0,0.0
partial_ot,0.05,5,-1.8016671419143677,0.8073011721976414,0.3610360598698379,1.0,0.0,0.0
partial_ot,0.1,5,-1.6324764013290405,0.2873199911612923,0.12849340630625766,1.0,0.0,0.0
partial_ot,0.3,5,-1.2924673318862916,0.3432681593789517,0.1535141877765136,1.0,0.0,0.0
partial_ot,1.0,5,-1.4386950492858888,0.23973406303857284,0.10721233229529373,1.0,0.0,0.0
partial_ot,3.0,5,-1.8524787187576295,0.524103216115249,0.234386083691992,1.0,0.0,0.0
partial_ot,10.0,5,-1.9154682874679565,0.30060268235731397,0.13443360639394614,1.0,0.0,0.0
reverse_kl,1.0,5,-0.5581680476665497,0.09516427556344771,0.042558757837878235,1.0,0.0,0.0
unbalanced_ot,0.05,5,-0.8117554187774658,0.137732918145105,0.0615960335423738,0.8666666666666668,0.26666666666666666,0.11925695879998878
unbalanced_ot,0.1,5,-0.788587498664856,0.06208840173739534,0.027766777379826406,0.8666666666666666,0.26666666666666666,0.11925695879998878
unbalanced_ot,0.3,5,-0.8545867800712585,0.052519337838661515,0.023487361908104805,0.8666666666666666,0.16329931618554522,0.07302967433402215
unbalanced_ot,1.0,5,-0.7501635074615478,0.053403993539250724,0.02388299196474484,1.0,0.0,0.0
unbalanced_ot,3.0,5,-0.7815218210220337,0.035740768100969926,0.015983757408364965,0.9333333333333332,0.13333333333333336,0.059628479399994404
unbalanced_ot,10.0,5,-0.833635950088501,0.07283012547149227,0.03257062227281913,0.8666666666666666,0.16329931618554522,0.07302967433402215
wasserstein,0.05,5,-1.2535022497177124,0.0930566591765397,0.041616203135554475,0.6,0.24944382578492943,0.1115546702045434
wasserstein,0.1,5,-1.3255217790603637,0.1213828064381477,0.05428404129907947,0.4666666666666666,0.2666666666666667,0.11925695879998881
wasserstein,0.3,5,-1.31573543548584,0.05305235819902595,0.023725735859938066,0.4666666666666666,0.1632993161855452,0.07302967433402213
wasserstein,1.0,5,-1.305233097076416,0.11283633085233487,0.05046194122349551,0.39999999999999997,0.13333333333333333,0.05962847939999439
wasserstein,3.0,5,-1.2370776653289794,0.05720314460135312,0.025582023971075136,0.4666666666666666,0.1632993161855452,0.07302967433402213
wasserstein,10.0,5,-1.2898113489151002,0.10039780013727659,0.04489926117967763,0.5333333333333333,0.1632993161855452,0.07302967433402213
