dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-3.312985897064209,0.1034,0.0161,3.5570459365844727
3,0,forward_kl,1.0,-0.5514379143714905,0.0,0.0394,4.571384906768799
3,0,wasserstein,0.03,-0.11228237301111221,0.0,0.2362,0.46804311871528625
3,0,partial_ot,0.03,-0.11170265078544617,0.0,0.2392,0.9091163873672485
3,0,unbalanced_ot,0.03,-0.11249502003192902,0.0,0.2329,0.34232741594314575
3,0,wasserstein,0.05,-0.11467907577753067,0.0,0.2248,0.37155476212501526
3,0,partial_ot,0.05,-0.11106698215007782,0.0,0.2385,0.5247039198875427
3,0,unbalanced_ot,0.05,-0.11039124429225922,0.0,0.2397,-0.08452180027961731
3,0,wasserstein,0.1,-0.12146291136741638,0.0,0.2123,2.2809858322143555
3,0,partial_ot,0.1,-0.10972490161657333,0.0,0.2424,-0.08913631737232208
3,0,unbalanced_ot,0.1,-0.11276069283485413,0.0,0.2333,1.3098516464233398
3,0,wasserstein,0.3,-0.3038882911205292,0.0,0.1057,4.074295520782471
3,0,partial_ot,0.3,-0.10920874029397964,0.0,0.2466,0.9439557790756226
3,0,unbalanced_ot,0.3,-0.11633586138486862,0.0,0.2255,1.8568849563598633
3,0,wasserstein,1.0,-1.5729929208755493,0.0176,0.0409,10.581709861755371
3,0,partial_ot,1.0,-0.11544599384069443,0.0,0.2206,0.32990124821662903
3,0,unbalanced_ot,1.0,-0.8406435251235962,0.0004,0.0579,7.361152172088623
3,1,bc,1.0,-3.4131906032562256,0.1091,0.0161,3.6162657737731934
3,1,forward_kl,1.0,-0.42039379477500916,0.0,0.0575,-0.54933100938797
3,1,wasserstein,0.03,-0.11200280487537384,0.0,0.2319,-0.08817142248153687
3,1,partial_ot,0.03,-0.11061868816614151,0.0,0.2389,0.2492399513721466
3,1,unbalanced_ot,0.03,-0.11143434792757034,0.0,0.2398,0.4085192084312439
3,1,wasserstein,0.05,-0.11469274759292603,0.0,0.2269,1.4521361589431763
3,1,partial_ot,0.05,-0.11248945444822311,0.0,0.2364,-0.2565186321735382
3,1,unbalanced_ot,0.05,-0.11189191788434982,0.0,0.2397,-0.10212276875972748
3,1,wasserstein,0.1,-0.1222018301486969,0.0,0.2144,2.0242748260498047
3,1,partial_ot,0.1,-0.11274731159210205,0.0,0.2389,-1.1786226034164429
3,1,unbalanced_ot,0.1,-0.11181623488664627,0.0,0.2318,1.28729248046875
3,1,wasserstein,0.3,-0.3069016635417938,0.0,0.1042,3.398987054824829
3,1,partial_ot,0.3,-0.11115861684083939,0.0,0.2427,0.5379233360290527
3,1,unbalanced_ot,0.3,-0.11651469767093658,0.0,0.2267,1.0629668235778809
3,1,wasserstein,1.0,-1.54294753074646,0.0153,0.0423,10.637136459350586
3,1,partial_ot,1.0,-0.11314382404088974,0.0,0.2402,1.3550682067871094
3,1,unbalanced_ot,1.0,-0.7310189008712769,0.0003,0.064,7.220646381378174
3,2,bc,1.0,-3.42922306060791,0.109,0.0152,3.699411630630493
3,2,forward_kl,1.0,-0.4533497095108032,0.0,0.0523,-0.3937854468822479
3,2,wasserstein,0.03,-0.11375094205141068,0.0,0.2406,0.8183721303939819
3,2,partial_ot,0.03,-0.1097695454955101,0.0,0.2428,-0.5664862394332886
3,2,unbalanced_ot,0.03,-0.11110293120145798,0.0,0.243,0.7270246744155884
3,2,wasserstein,0.05,-0.11433818191289902,0.0,0.2259,1.1850531101226807
3,2,partial_ot,0.05,-0.11018071323633194,0.0,0.2436,0.09352489560842514
3,2,unbalanced_ot,0.05,-0.11119594424962997,0.0,0.2364,0.9078474044799805
3,2,wasserstein,0.1,-0.12252065539360046,0.0,0.2159,1.5734859704971313
3,2,partial_ot,0.1,-0.11004265397787094,0.0,0.2374,0.6727429032325745
3,2,unbalanced_ot,0.1,-0.11314269155263901,0.0,0.2326,-0.20788756012916565
3,2,wasserstein,0.3,-0.3190886676311493,0.0,0.1047,3.524894952774048
3,2,partial_ot,0.3,-0.11417700350284576,0.0,0.2282,0.3452988862991333
3,2,unbalanced_ot,0.3,-0.11575909703969955,0.0,0.2234,1.850100040435791
3,2,wasserstein,1.0,-1.578242540359497,0.0179,0.0426,9.745072364807129
3,2,partial_ot,1.0,-0.11411315947771072,0.0,0.231,0.717515766620636
3,2,unbalanced_ot,1.0,-0.7584426403045654,0.0005,0.0625,6.2845072746276855
4,0,bc,1.0,-3.3379273414611816,0.0996,0.0098,3.6579055786132812
4,0,forward_kl,1.0,-0.5518286824226379,0.0,0.0284,-0.38251665234565735
4,0,wasserstein,0.03,-0.1513163149356842,0.0,0.1775,0.8156336545944214
4,0,partial_ot,0.03,-0.14690819382667542,0.0,0.1916,0.45933791995048523
4,0,unbalanced_ot,0.03,-0.1489092856645584,0.0,0.1758,0.32800009846687317
4,0,wasserstein,0.05,-0.15033124387264252,0.0,0.1792,-0.1638224720954895
4,0,partial_ot,0.05,-0.14710643887519836,0.0,0.1846,0.7847453355789185
4,0,unbalanced_ot,0.05,-0.14734947681427002,0.0,0.179,0.5765569806098938
4,0,wasserstein,0.1,-0.15586668252944946,0.0,0.1702,1.554000735282898
4,0,partial_ot,0.1,-0.14699172973632812,0.0,0.184,-0.00666311988607049
4,0,unbalanced_ot,0.1,-0.15012431144714355,0.0,0.1838,1.32476806640625
4,0,wasserstein,0.3,-0.3382320702075958,0.0,0.0828,4.4249162673950195
4,0,partial_ot,0.3,-0.14563079178333282,0.0,0.1893,-0.35220903158187866
4,0,unbalanced_ot,0.3,-0.15361830592155457,0.0,0.1769,1.8133560419082642
