dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.049190878868103,0.0,0.0112,17.58115005493164
3,0,forward_kl,1.0,-0.9875794053077698,0.0,0.0104,1.1139447689056396
3,0,wasserstein,0.03,-0.940819263458252,0.0,0.0131,2.120000123977661
3,0,partial_ot,0.03,-0.9430403113365173,0.0,0.0129,1.2967710494995117
3,0,unbalanced_ot,0.03,-0.9242329001426697,0.0,0.015,2.058466911315918
3,0,wasserstein,0.05,-0.9479324221611023,0.0,0.013,1.6623437404632568
3,0,partial_ot,0.05,-0.9395990371704102,0.0,0.0147,1.5128170251846313
3,0,unbalanced_ot,0.05,-0.9536390900611877,0.0,0.013,1.521414041519165
3,0,wasserstein,0.1,-0.9412925839424133,0.0,0.0125,1.4719353914260864
3,0,partial_ot,0.1,-0.9322808384895325,0.0,0.013,1.1274465322494507
3,0,unbalanced_ot,0.1,-0.9435533285140991,0.0,0.0138,1.6404451131820679
3,0,wasserstein,0.3,-0.946140706539154,0.0,0.0117,4.696431636810303
3,0,partial_ot,0.3,-0.9323856234550476,0.0,0.0134,1.8494809865951538
3,0,unbalanced_ot,0.3,-0.938894510269165,0.0,0.0157,2.629242420196533
3,0,wasserstein,1.0,-1.0470950603485107,0.0,0.0126,12.666596412658691
3,0,partial_ot,1.0,-0.9489839673042297,0.0,0.0139,0.7591283321380615
3,0,unbalanced_ot,1.0,-1.015717625617981,0.0,0.0129,7.718230724334717
