dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,1,-1.049190878868103,0.0,0.0,0.0,0.0112,0.0
3,forward_kl,1.0,1,-0.9875794053077698,0.0,0.0,0.0,0.0104,0.0
3,partial_ot,0.03,1,-0.9430403113365173,0.0,0.0,0.0,0.0129,0.0
3,partial_ot,0.05,1,-0.9395990371704102,0.0,0.0,0.0,0.0147,0.0
3,partial_ot,0.1,1,-0.9322808384895325,0.0,0.0,0.0,0.013,0.0
3,partial_ot,0.3,1,-0.9323856234550476,0.0,0.0,0.0,0.0134,0.0
3,partial_ot,1.0,1,-0.9489839673042297,0.0,0.0,0.0,0.0139,0.0
3,unbalanced_ot,0.03,1,-0.9242329001426697,0.0,0.0,0.0,0.015,0.0
3,unbalanced_ot,0.05,1,-0.9536390900611877,0.0,0.0,0.0,0.013,0.0
3,unbalanced_ot,0.1,1,-0.9435533285140991,0.0,0.0,0.0,0.0138,0.0
3,unbalanced_ot,0.3,1,-0.938894510269165,0.0,0.0,0.0,0.0157,0.0
3,unbalanced_ot,1.0,1,-1.015717625617981,0.0,0.0,0.0,0.0129,0.0
3,wasserstein,0.03,1,-0.940819263458252,0.0,0.0,0.0,0.0131,0.0
3,wasserstein,0.05,1,-0.9479324221611023,0.0,0.0,0.0,0.013,0.0
3,wasserstein,0.1,1,-0.9412925839424133,0.0,0.0,0.0,0.0125,0.0
3,wasserstein,0.3,1,-0.946140706539154,0.0,0.0,0.0,0.0117,0.0
3,wasserstein,1.0,1,-1.0470950603485107,0.0,0.0,0.0,0.0126,0.0
