dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.028350591659546,0.0001,0.0129,14.0880765914917
3,0,forward_kl,1.0,-0.8998371362686157,0.0,0.0148,1.0246421098709106
3,0,wasserstein,0.03,-0.7512089610099792,0.0,0.02,1.2874796390533447
3,0,partial_ot,0.03,-0.7500990629196167,0.0,0.0178,0.5895683765411377
3,0,unbalanced_ot,0.03,-0.7664058804512024,0.0,0.018,0.8387214541435242
3,0,wasserstein,0.05,-0.753730833530426,0.0,0.0186,1.1602754592895508
3,0,partial_ot,0.05,-0.7562620639801025,0.0,0.0214,0.5700965523719788
3,0,unbalanced_ot,0.05,-0.7482843995094299,0.0,0.0198,1.110486626625061
3,0,wasserstein,0.1,-0.7613883018493652,0.0,0.0184,1.9648523330688477
3,0,partial_ot,0.1,-0.7456531524658203,0.0,0.0207,0.42096060514450073
3,0,unbalanced_ot,0.1,-0.7431567907333374,0.0,0.0202,1.4580776691436768
3,0,wasserstein,0.3,-1.0032601356506348,0.0002,0.014,3.568138837814331
3,0,partial_ot,0.3,-0.7467315196990967,0.0,0.0175,0.6450069546699524
3,0,unbalanced_ot,0.3,-0.7484135627746582,0.0,0.0183,2.681861400604248
3,0,wasserstein,1.0,-1.0197505950927734,0.0001,0.0132,10.180726051330566
3,0,partial_ot,1.0,-0.7512488961219788,0.0,0.0168,1.1107046604156494
3,0,unbalanced_ot,1.0,-1.0136072635650635,0.0,0.0096,6.684525489807129
3,0,wasserstein,3.0,-1.0246042013168335,0.0,0.0113,25.38692855834961
3,0,partial_ot,3.0,-0.755748450756073,0.0,0.0179,0.7660865783691406
3,0,unbalanced_ot,3.0,-1.0304487943649292,0.0,0.0138,21.420251846313477
