dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,1,-1.028350591659546,0.0,0.0001,0.0,0.0129,0.0
3,forward_kl,1.0,1,-0.8998371362686157,0.0,0.0,0.0,0.0148,0.0
3,partial_ot,0.03,1,-0.7500990629196167,0.0,0.0,0.0,0.0178,0.0
3,partial_ot,0.05,1,-0.7562620639801025,0.0,0.0,0.0,0.0214,0.0
3,partial_ot,0.1,1,-0.7456531524658203,0.0,0.0,0.0,0.0207,0.0
3,partial_ot,0.3,1,-0.7467315196990967,0.0,0.0,0.0,0.0175,0.0
3,partial_ot,1.0,1,-0.7512488961219788,0.0,0.0,0.0,0.0168,0.0
3,partial_ot,3.0,1,-0.755748450756073,0.0,0.0,0.0,0.0179,0.0
3,unbalanced_ot,0.03,1,-0.7664058804512024,0.0,0.0,0.0,0.018,0.0
3,unbalanced_ot,0.05,1,-0.7482843995094299,0.0,0.0,0.0,0.0198,0.0
3,unbalanced_ot,0.1,1,-0.7431567907333374,0.0,0.0,0.0,0.0202,0.0
3,unbalanced_ot,0.3,1,-0.7484135627746582,0.0,0.0,0.0,0.0183,0.0
3,unbalanced_ot,1.0,1,-1.0136072635650635,0.0,0.0,0.0,0.0096,0.0
3,unbalanced_ot,3.0,1,-1.0304487943649292,0.0,0.0,0.0,0.0138,0.0
3,wasserstein,0.03,1,-0.7512089610099792,0.0,0.0,0.0,0.02,0.0
3,wasserstein,0.05,1,-0.753730833530426,0.0,0.0,0.0,0.0186,0.0
3,wasserstein,0.1,1,-0.7613883018493652,0.0,0.0,0.0,0.0184,0.0
3,wasserstein,0.3,1,-1.0032601356506348,0.0,0.0002,0.0,0.014,0.0
3,wasserstein,1.0,1,-1.0197505950927734,0.0,0.0001,0.0,0.0132,0.0
3,wasserstein,3.0,1,-1.0246042013168335,0.0,0.0,0.0,0.0113,0.0
